amount,payment_method,merchant_category,subscription_status,failure_category,failure_code,attempt_number,previous_transactions,previous_successes,previous_failures,previous_recovery_successes,customer_failure_rate,hour_of_day,day_of_week,is_weekend,recovered
2998.41,credit_card,saas,active,insufficient_funds,INSUFFICIENT_FUNDS,1,22,18,4,2,0.1818181818181818,0,3,0,0
1535.25,credit_card,travel,none,network_failure,CONNECTION_FAILED,1,7,7,0,0,0.0,1,3,0,1
473.83,wallet,education,none,authentication_failure,OTP_FAILED,1,18,9,9,0,0.5,1,3,0,0
1318.24,upi,education,none,transient,PROCESSING_TIMEOUT,1,10,8,2,2,0.2,3,3,0,0
1356.29,credit_card,education,active,insufficient_funds,INSUFFICIENT_FUNDS,1,3,3,0,0,0.0,4,3,0,0
1067.02,wallet,travel,active,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,29,19,10,7,0.3448275862068966,5,3,0,1
345.37,netbanking,education,none,unknown,UNKNOWN_ERROR,1,19,17,2,2,0.1052631578947368,7,3,0,1
3357.43,upi,ecommerce,none,transient,GATEWAY_TIMEOUT,3,6,6,0,0,0.0,7,3,0,0
2725.34,upi,education,none,transient,PROCESSING_TIMEOUT,3,19,11,8,4,0.4210526315789473,8,3,0,1
6687.37,netbanking,saas,active,transient,PROCESSING_TIMEOUT,1,28,28,0,0,0.0,9,3,0,1
18920.99,credit_card,healthcare,active,network_failure,NETWORK_ERROR,1,24,23,1,0,0.0416666666666666,9,3,0,1
811.14,upi,saas,none,transient,GATEWAY_TIMEOUT,2,29,17,12,1,0.4137931034482758,10,3,0,0
7030.41,debit_card,healthcare,active,transient,PROCESSING_TIMEOUT,1,24,22,2,1,0.0833333333333333,10,3,0,1
2852.07,debit_card,healthcare,none,transient,PROCESSING_TIMEOUT,1,20,19,1,0,0.05,11,3,0,0
2550.63,wallet,travel,active,insufficient_funds,BALANCE_LOW,1,15,14,1,0,0.0666666666666666,11,3,0,0
7158.9,credit_card,ecommerce,active,authentication_failure,AUTH_FAILED,2,12,9,3,1,0.25,13,3,0,0
261.99,wallet,education,active,transient,GATEWAY_TIMEOUT,1,12,11,1,1,0.0833333333333333,14,3,0,0
4102.53,upi,ecommerce,none,insufficient_funds,INSUFFICIENT_FUNDS,1,22,18,4,0,0.1818181818181818,15,3,0,1
