transaction_id,customer_id,timestamp,amount,currency,payment_method,merchant_category,subscription_status,payment_status,failure_category,failure_code,attempt_number,previous_transactions,previous_successes,previous_failures,previous_recovery_successes,customer_failure_rate,hour_of_day,day_of_week,is_weekend,recovery_probability,recovered
TXN_000001,CUST_01983,2026-01-01 00:00:00,585.02,INR,upi,healthcare,past_due,successful,none,NONE,1,22,19,3,5,0.13636363636363635,0,3,0,0.5668,0
TXN_000002,CUST_05711,2026-01-01 00:15:00,8300.2,INR,debit_card,travel,none,successful,none,NONE,1,17,12,5,1,0.29411764705882354,0,3,0,0.3323,0
TXN_000003,CUST_00194,2026-01-01 00:30:00,5102.85,INR,debit_card,ecommerce,none,successful,none,NONE,1,15,9,6,0,0.4,0,3,0,0.5197,0
TXN_000004,CUST_08165,2026-01-01 00:45:00,557.48,INR,upi,travel,active,successful,none,NONE,1,5,0,5,1,1.0,0,3,0,0.2051,0
TXN_000005,CUST_04459,2026-01-01 01:00:00,2570.89,INR,wallet,healthcare,none,failed,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,2,0,7,5,3.5,1,3,0,0.02,0
TXN_000006,CUST_01120,2026-01-01 01:15:00,3740.14,INR,debit_card,saas,past_due,successful,none,NONE,1,24,19,5,4,0.20833333333333334,1,3,0,0.4575,0
TXN_000007,CUST_06912,2026-01-01 01:30:00,11528.61,INR,debit_card,education,active,successful,none,NONE,1,22,21,1,3,0.045454545454545456,1,3,0,0.4722,0
TXN_000008,CUST_06541,2026-01-01 01:45:00,1174.01,INR,credit_card,healthcare,none,successful,none,NONE,1,6,3,3,4,0.5,1,3,0,0.5863,0
TXN_000009,CUST_00527,2026-01-01 02:00:00,4514.13,INR,credit_card,education,active,failed,authentication_failure,AUTH_FAILED,1,12,12,0,2,0.0,2,3,0,0.5342,1
TXN_000010,CUST_07155,2026-01-01 02:15:00,3461.85,INR,wallet,travel,none,failed,network_failure,NETWORK_ERROR,2,21,15,6,5,0.2857142857142857,2,3,0,0.5786,0
TXN_000011,CUST_04880,2026-01-01 02:30:00,968.72,INR,netbanking,food,none,successful,none,NONE,1,15,15,0,4,0.0,2,3,0,0.6491,0
TXN_000012,CUST_09975,2026-01-01 02:45:00,1320.13,INR,upi,food,active,successful,none,NONE,1,13,12,1,0,0.07692307692307693,2,3,0,0.4196,0
TXN_000013,CUST_05846,2026-01-01 03:00:00,915.41,INR,upi,food,none,successful,none,NONE,1,13,6,7,1,0.5384615384615384,3,3,0,0.4439,0
TXN_000014,CUST_07972,2026-01-01 03:15:00,2490.17,INR,debit_card,education,none,successful,none,NONE,1,14,10,4,0,0.2857142857142857,3,3,0,0.3359,0
TXN_000015,CUST_02674,2026-01-01 03:30:00,447.95,INR,netbanking,food,past_due,failed,transient,GATEWAY_TIMEOUT,3,11,8,3,4,0.2727272727272727,3,3,0,0.6525,0
TXN_000016,CUST_07761,2026-01-01 03:45:00,1479.35,INR,credit_card,saas,none,successful,none,NONE,1,2,2,0,4,0.0,3,3,0,0.638,0
TXN_000017,CUST_07198,2026-01-01 04:00:00,1304.81,INR,wallet,saas,past_due,failed,transient,PROCESSING_TIMEOUT,1,15,9,6,4,0.4,4,3,0,0.7918,1
TXN_000018,CUST_05102,2026-01-01 04:15:00,286.1,INR,credit_card,travel,none,successful,none,NONE,1,15,9,6,4,0.4,4,3,0,0.583,0
TXN_000019,CUST_03527,2026-01-01 04:30:00,2376.04,INR,upi,travel,active,successful,none,NONE,1,1,0,6,5,6.0,4,3,0,0.02,0
TXN_000020,CUST_03850,2026-01-01 04:45:00,3311.67,INR,upi,healthcare,none,successful,none,NONE,1,21,20,1,3,0.047619047619047616,4,3,0,0.6129,0
TXN_000021,CUST_01635,2026-01-01 05:00:00,488.43,INR,upi,education,none,successful,none,NONE,1,23,16,7,5,0.30434782608695654,5,3,0,0.5044,0
TXN_000022,CUST_00094,2026-01-01 05:15:00,1804.32,INR,upi,education,active,successful,none,NONE,1,12,6,6,4,0.5,5,3,0,0.46,0
TXN_000023,CUST_03367,2026-01-01 05:30:00,521.71,INR,debit_card,education,none,successful,none,NONE,1,23,17,6,1,0.2608695652173913,5,3,0,0.4392,0
